Sample,Time,Temp_C,Voltage_V,Resistance_Ohm
0,824057152.0,23.20,0.429612,1480.7
1,824057152.0,22.90,0.447180,1550.9
2,824057152.0,22.90,0.447180,1550.9
3,824057152.0,22.90,0.482315,1693.8
4,824057152.0,22.90,0.451172,1567.0
5,824057152.0,22.90,0.445582,1544.5
6,824057152.0,22.90,0.421626,1449.2
7,824057152.0,22.90,0.459158,1599.2
8,824057152.0,22.90,0.442388,1531.7
9,824057152.0,22.90,0.449575,1560.5
10,824057152.0,23.00,0.424022,1458.6
11,824057152.0,22.90,0.487905,1716.9
12,824057152.0,23.00,0.441590,1528.5
13,824057152.0,23.00,0.459956,1602.5
14,824057152.0,23.00,0.452769,1573.4
15,824057152.0,23.00,0.447180,1550.9
16,824057152.0,23.00,0.459956,1602.5
17,824057152.0,23.00,0.432007,1490.3
18,824057152.0,23.00,0.447978,1554.1
19,824057152.0,23.00,0.452769,1573.4
20,824057152.0,23.00,0.442388,1531.7
21,824057152.0,23.00,0.455963,1586.3
22,824057152.0,23.00,0.454366,1579.8
23,824057152.0,23.00,0.461553,1608.9
24,824057152.0,23.00,0.475128,1664.3
25,824057152.0,23.10,0.448777,1557.3
26,824057152.0,23.10,0.447180,1550.9
27,824057152.0,23.00,0.458359,1596.0
28,824057152.0,23.10,0.408051,1395.8
29,824057152.0,23.10,0.448777,1557.3
30,824057152.0,23.10,0.404857,1383.4
31,824057152.0,23.10,0.424022,1458.6
32,824057152.0,23.10,0.459956,1602.5
33,824057152.0,23.10,0.447978,1554.1
34,824057152.0,23.10,0.464747,1621.9
35,824057152.0,23.10,0.459158,1599.2
36,824057152.0,23.10,0.455165,1583.1
37,824057152.0,23.10,0.464747,1621.9
38,824057200.0,23.10,0.451971,1570.2
39,824057200.0,23.10,0.451971,1570.2
40,824057200.0,23.10,0.451971,1570.2
41,824057200.0,23.10,0.443187,1534.9
42,824057200.0,23.10,0.454366,1579.8
43,824057200.0,23.10,0.455963,1586.3
44,824057200.0,23.10,0.455165,1583.1
45,824057200.0,23.10,0.436000,1506.2
46,824057200.0,23.10,0.439993,1522.1
47,824057200.0,23.10,0.472733,1654.5
48,824057200.0,23.10,0.451172,1567.0
49,824057200.0,23.10,0.436000,1506.2
50,824057200.0,23.10,0.453568,1576.6
51,824057200.0,23.10,0.436799,1509.3
52,824057200.0,23.10,0.457560,1592.8
53,824057200.0,23.10,0.447180,1550.9
54,824057200.0,23.10,0.459956,1602.5
55,824057200.0,23.10,0.448777,1557.3
56,824057200.0,23.10,0.466344,1628.4
57,824057200.0,23.10,0.468740,1638.2
58,824057200.0,23.10,0.451172,1567.0
59,824057200.0,23.10,0.457560,1592.8
60,824057200.0,23.10,0.424022,1458.6
61,824057200.0,23.10,0.416835,1430.3
62,824057200.0,23.10,0.458359,1596.0
63,824057200.0,23.10,0.447978,1554.1
64,824057200.0,23.10,0.447180,1550.9
65,824057200.0,23.10,0.447180,1550.9
66,824057200.0,23.10,0.459956,1602.5
67,824057200.0,23.10,0.471934,1651.2
68,824057200.0,23.10,0.456762,1589.5
69,824057200.0,23.10,0.470337,1644.7
70,824057200.0,23.10,0.447180,1550.9
71,824057200.0,23.10,0.452769,1573.4
72,824057200.0,23.00,0.444784,1541.3
73,824057200.0,23.00,0.456762,1589.5
74,824057200.0,23.00,0.443187,1534.9
75,824057200.0,23.00,0.464747,1621.9
76,824057200.0,23.00,0.446381,1547.7
77,824057200.0,23.00,0.436799,1509.3
78,824057200.0,23.00,0.455963,1586.3
79,824057200.0,23.00,0.446381,1547.7
80,824057200.0,23.00,0.452769,1573.4
81,824057200.0,23.00,0.454366,1579.8
82,824057200.0,23.00,0.436799,1509.3
83,824057200.0,23.00,0.452769,1573.4
84,824057200.0,23.00,0.455963,1586.3
85,824057200.0,23.00,0.449575,1560.5
86,824057200.0,23.00,0.459956,1602.5
87,824057200.0,23.00,0.448777,1557.3
88,824057200.0,23.00,0.452769,1573.4
89,824057300.0,23.00,0.372117,1257.1
90,824057300.0,23.00,0.459158,1599.2
91,824057300.0,23.00,0.428813,1477.6
92,824057300.0,23.00,0.451172,1567.0
93,824057300.0,23.00,0.482315,1693.8
94,824057300.0,23.00,0.463949,1618.7
95,824057300.0,23.00,0.471934,1651.2
96,824057300.0,23.00,0.445582,1544.5
97,824057300.0,23.00,0.574945,2088.5
98,824057300.0,23.00,0.473531,1657.8
99,824057300.0,23.10,0.467143,1631.7
