Time,Temp_C,Voltage_V,Resistance_Ohm
1769448320.0,65.70,0.538189,1928.7
1769448320.0,65.60,0.537391,1925.3
1769448320.0,65.50,0.536592,1921.9
1769448320.0,65.40,0.538189,1928.7
1769448320.0,65.30,0.540584,1939.0
1769448320.0,65.10,0.537391,1925.3
1769448320.0,65.00,0.537391,1925.3
1769448320.0,64.90,0.538189,1928.7
1769448320.0,64.70,0.537391,1925.3
1769448320.0,64.60,0.538189,1928.7
1769448320.0,64.40,0.538189,1928.7
1769448320.0,64.30,0.539786,1935.6
1769448320.0,64.10,0.538987,1932.1
1769448320.0,64.00,0.538987,1932.1
1769448320.0,63.90,0.542979,1949.3
1769448320.0,63.70,0.539786,1935.6
1769448320.0,63.60,0.539786,1935.6
1769448320.0,63.50,0.534996,1915.0
1769448320.0,63.30,0.539786,1935.6
1769448320.0,63.20,0.539786,1935.6
1769448320.0,63.00,0.540584,1939.0
1769448320.0,62.90,0.539786,1935.6
1769448320.0,62.70,0.540584,1939.0
1769448320.0,62.60,0.539786,1935.6
1769448320.0,62.40,0.540584,1939.0
1769448320.0,62.30,0.539786,1935.6
1769448320.0,62.20,0.539786,1935.6
1769448320.0,62.10,0.540584,1939.0
1769448320.0,61.90,0.541382,1942.4
1769448320.0,61.80,0.540584,1939.0
1769448320.0,61.60,0.541382,1942.4
1769448320.0,61.50,0.541382,1942.4
1769448320.0,61.40,0.541382,1942.4
1769448320.0,61.30,0.541382,1942.4
1769448320.0,61.10,0.542181,1945.9
1769448320.0,61.00,0.541382,1942.4
1769448320.0,60.90,0.542181,1945.9
1769448320.0,60.80,0.541382,1942.4
1769448320.0,60.60,0.534996,1915.0
1769448320.0,60.50,0.534197,1911.6
1769448320.0,60.40,0.536592,1921.9
1769448320.0,60.30,0.542979,1949.3
1769448320.0,60.20,0.542181,1945.9
1769448320.0,60.10,0.543778,1952.7
1769448320.0,60.00,0.542979,1949.3
1769448320.0,59.90,0.543778,1952.7
1769448320.0,59.80,0.542979,1949.3
1769448320.0,59.60,0.543778,1952.7
1769448320.0,59.50,0.543778,1952.7
