Time,Temp_C,Voltage_V,Resistance_Ohm
1769431200.0,25.10,0.586090,2137.9
1769431200.0,25.20,0.583695,2127.2
1769431200.0,25.20,0.583695,2127.2
1769431200.0,25.20,0.583695,2127.2
1769431200.0,25.20,0.576510,2095.4
1769431200.0,25.30,0.584493,2130.8
1769431200.0,25.30,0.583695,2127.2
1769431200.0,25.40,0.584493,2130.8
1769431200.0,25.60,0.582897,2123.7
1769431200.0,26.10,0.584493,2130.8
1769431200.0,26.70,0.583695,2127.2
1769431200.0,27.20,0.582897,2123.7
1769431200.0,27.70,0.582098,2120.1
1769431200.0,28.10,0.575712,2091.9
1769431200.0,28.60,0.582098,2120.1
1769431200.0,29.10,0.581300,2116.6
1769431200.0,29.50,0.581300,2116.6
1769431200.0,29.90,0.580502,2113.1
1769431200.0,30.40,0.578905,2106.0
1769431200.0,30.90,0.572518,2077.8
1769431200.0,31.50,0.576510,2095.4
1769431200.0,32.00,0.578107,2102.5
1769431200.0,32.60,0.578107,2102.5
1769431200.0,33.10,0.577308,2099.0
1769431200.0,33.70,0.560543,2025.4
1769431200.0,34.20,0.576510,2095.4
1769431200.0,34.80,0.575712,2091.9
1769431200.0,35.40,0.575712,2091.9
1769431200.0,35.90,0.585292,2134.3
1769431200.0,36.40,0.574115,2084.9
1769431200.0,36.90,0.573317,2081.4
1769431200.0,37.40,0.572518,2077.8
1769431200.0,37.90,0.572518,2077.8
1769431200.0,38.40,0.574115,2084.9
1769431200.0,38.90,0.571720,2074.3
1769431200.0,39.40,0.571720,2074.3
1769431200.0,39.90,0.570921,2070.8
1769431200.0,40.40,0.571720,2074.3
1769431200.0,40.90,0.569325,2063.8
1769431200.0,41.40,0.569325,2063.8
1769431200.0,41.80,0.568526,2060.3
1769431200.0,42.20,0.578905,2106.0
1769431200.0,42.60,0.566930,2053.3
1769431200.0,43.00,0.567728,2056.8
1769431200.0,43.30,0.566131,2049.8
1769431200.0,43.70,0.565333,2046.3
1769431200.0,44.10,0.562938,2035.8
1769431200.0,44.50,0.564535,2042.8
1769431200.0,44.80,0.564535,2042.8
1769431200.0,45.20,0.564535,2042.8
1769431200.0,45.50,0.563736,2039.3
1769431200.0,45.80,0.563736,2039.3
1769431200.0,46.10,0.562938,2035.8
1769431200.0,46.50,0.562938,2035.8
1769431200.0,46.70,0.562140,2032.4
1769431200.0,47.10,0.561341,2028.9
1769431200.0,47.30,0.561341,2028.9
1769431200.0,47.60,0.562140,2032.4
1769431200.0,47.90,0.561341,2028.9
1769431200.0,48.20,0.560543,2025.4
1769431200.0,48.50,0.559745,2021.9
1769431200.0,48.70,0.559745,2021.9
1769431200.0,49.00,0.560543,2025.4
1769431200.0,49.20,0.558946,2018.4
1769431200.0,49.40,0.560543,2025.4
1769431200.0,49.60,0.558946,2018.4
1769431200.0,49.90,0.558148,2015.0
1769431200.0,50.10,0.559745,2021.9
1769431200.0,50.30,0.557350,2011.5
1769431200.0,50.50,0.558148,2015.0
1769431200.0,50.70,0.558148,2015.0
1769431200.0,51.00,0.550164,1980.3
1769431200.0,51.20,0.557350,2011.5
1769431200.0,51.40,0.550164,1980.3
1769431200.0,51.60,0.556551,2008.0
1769431200.0,51.80,0.556551,2008.0
1769431200.0,51.90,0.556551,2008.0
1769431200.0,52.10,0.558946,2018.4
1769431360.0,52.30,0.555753,2004.5
1769431360.0,52.50,0.558946,2018.4
1769431360.0,52.60,0.554156,1997.6
1769431360.0,52.80,0.554156,1997.6
1769431360.0,52.90,0.554156,1997.6
1769431360.0,53.10,0.553358,1994.1
1769431360.0,53.20,0.553358,1994.1
1769431360.0,53.40,0.553358,1994.1
1769431360.0,53.60,0.553358,1994.1
1769431360.0,53.70,0.553358,1994.1
1769431360.0,53.90,0.553358,1994.1
1769431360.0,54.00,0.546173,1963.1
1769431360.0,54.20,0.553358,1994.1
1769431360.0,54.30,0.552559,1990.7
1769431360.0,54.40,0.552559,1990.7
1769431360.0,54.60,0.551761,1987.2
1769431360.0,54.70,0.555753,2004.5
1769431360.0,54.80,0.552559,1990.7
1769431360.0,55.00,0.551761,1987.2
1769431360.0,55.10,0.553358,1994.1
1769431360.0,55.30,0.550963,1983.8
1769431360.0,55.40,0.550963,1983.8
1769431360.0,55.50,0.550963,1983.8
1769431360.0,55.60,0.550963,1983.8
1769431360.0,55.70,0.551761,1987.2
1769431360.0,55.80,0.550164,1980.3
1769431360.0,55.90,0.550963,1983.8
1769431360.0,56.00,0.550164,1980.3
1769431360.0,56.10,0.550963,1983.8
1769431360.0,56.30,0.549366,1976.9
1769431360.0,56.40,0.550164,1980.3
1769431360.0,56.60,0.549366,1976.9
1769431360.0,56.70,0.549366,1976.9
1769431360.0,56.80,0.550963,1983.8
1769431360.0,56.90,0.549366,1976.9
1769431360.0,57.00,0.541382,1942.4
1769431360.0,57.10,0.549366,1976.9
1769431360.0,57.20,0.551761,1987.2
1769431360.0,57.30,0.547769,1970.0
1769431360.0,57.40,0.546971,1966.5
1769431360.0,57.50,0.548568,1973.4
1769431360.0,57.60,0.547769,1970.0
1769431360.0,57.70,0.547769,1970.0
1769431360.0,57.80,0.547769,1970.0
1769431360.0,57.90,0.547769,1970.0
1769431360.0,58.00,0.547769,1970.0
1769431360.0,58.10,0.546971,1966.5
1769431360.0,58.20,0.546971,1966.5
1769431360.0,58.30,0.547769,1970.0
1769431360.0,58.30,0.546971,1966.5
1769431360.0,58.50,0.547769,1970.0
1769431360.0,58.60,0.546173,1963.1
1769431360.0,58.60,0.546173,1963.1
1769431360.0,58.70,0.546971,1966.5
1769431360.0,58.90,0.546971,1966.5
1769431360.0,58.90,0.546173,1963.1
1769431360.0,59.00,0.546971,1966.5
1769431360.0,59.10,0.546173,1963.1
1769431360.0,59.20,0.548568,1973.4
1769431360.0,59.30,0.545374,1959.6
1769431360.0,59.40,0.547769,1970.0
1769431360.0,59.50,0.538189,1928.7
1769431360.0,59.50,0.546173,1963.1
1769431360.0,59.60,0.545374,1959.6
1769431360.0,59.70,0.545374,1959.6
